ele,time,name,xcoord,ycoord,zcoord
0.945671,22-04-2025 02:36,551,73.94079,15.057397,0.945671
0.135941,22-04-2025 02:41,552,73.934462,15.065565,0.135941
0.82283,22-04-2025 02:45,553,73.930601,15.071921,0.82283
1.585159,22-04-2025 02:49,554,73.927214,15.079605,1.585159
2.049797,22-04-2025 02:53,555,73.918809,15.078742,2.049797
-1.913528,22-04-2025 02:58,556,73.909786,15.078065,-1.913528
1.632088,22-04-2025 03:02,557,73.906492,15.081935,1.632088
4.024376,22-04-2025 03:07,558,73.914082,15.088561,4.024376
1.336685,22-04-2025 03:12,559,73.921181,15.095942,1.336685
0.629745,22-04-2025 03:16,560,73.922501,15.101313,0.629745
1.648651,22-04-2025 03:21,561,73.915636,15.10786,1.648651
3.569084,22-04-2025 03:28,562,73.923947,15.114353,3.569084
3.676109,22-04-2025 03:31,563,73.928659,15.118068,3.676109
3.094101,22-04-2025 03:35,564,73.935437,15.123467,3.094101
1.039589,22-04-2025 03:40,565,73.932175,15.129739,1.039589
4.33934,22-04-2025 03:40,566,73.931364,15.13045,4.33934
0.826546,22-04-2025 03:45,567,73.924619,15.134649,0.826546
5.789268,22-04-2025 03:50,568,73.933391,15.13848,5.789268
6.134758,22-04-2025 03:55,569,73.942188,15.141719,6.134758
2.529724,22-04-2025 03:56,570,73.944883,15.142462,2.529724
1.023476,23-04-2025 00:55,571,73.944367,15.143341,1.023476
1.894348,23-04-2025 00:56,572,73.941378,15.144547,1.894348
1.006409,23-04-2025 01:00,573,73.933742,15.149484,1.006409
1.059486,23-04-2025 01:04,574,73.927836,15.153825,1.059486
1.430588,23-04-2025 01:05,575,73.92896,15.154989,1.430588
1.440407,23-04-2025 01:10,576,73.935588,15.164576,1.440407
1.471397,23-04-2025 01:15,577,73.936359,15.172405,1.471397
2.465683,23-04-2025 01:18,578,73.930027,15.177243,2.465683
1.408882,23-04-2025 01:21,579,73.924721,15.18042,1.408882
1.15934,23-04-2025 01:25,580,73.91664,15.184394,1.15934
2.373795,23-04-2025 01:29,581,73.916388,15.193267,2.373795
0.781075,23-04-2025 01:34,582,73.916139,15.202553,0.781075
